Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled
EULER mit Epsilon=0.01,0.0,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.001,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.002,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.003,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.004,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.005,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.006,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.007,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.008,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.009,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.010,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.011,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.012,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.013,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
EULER mit Epsilon=0.01,0.014,6,{I-Maximality / Weak Reinstatement / CF-Reinstatement / Reduct Admissibility / Modularization / Reinstatement},{Conflict-Free / Irrelevance of Necessarily Rejected Arguments (INRA) / Directionality / Defence / Naivety / Semi-Qualified Admissibility / Admissibility / Strong Admissibility / SCC Decomposability}
